audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
2008_coldplay__viva_la_vida__album,Coldplay,Viva La Vida,2008,mid,lo,mid,lo,mid,139.6748310810811,241.4875283446712,-18.222467010186993,0.3522197023609507,0.2987203904528954,0.5608878809443802,Anthemic orchestral pop; rolling rhythm but emotionally bittersweet mid-valence.,lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2014_sia__chandelier__album,Sia,Chandelier,2014,hi,lo,mid,lo,lo,114.84375,214.73814058956916,-18.79923346808762,0.35701271798294804,0.3817263869512473,0.5628050871931792,Soaring pop ballad over trap-influenced drums; vocally intense high energy but emotionally heavy with low-valence subject matter.,lo,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
2017_imagine_dragons__believer__album,Imagine Dragons,Believer,2017,hi,lo,mid,lo,mid,126.04801829268293,203.59256235827664,-18.52252561998446,0.35896842085055514,0.3638405061178299,0.563587368340222,"Arena/pop rock anthem; very high energy with a strong but not club-focused groove, emotionally intense but ultimately uplifting.",lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2017_luis_fonsi_daddy_yankee_ft_justin_bieber__despacito__single,Luis Fonsi & Daddy Yankee feat. Justin Bieber,Despacito (Remix),2017,mid,hi,hi,hi,mid,89.10290948275862,228.1128344671202,-17.854215303532325,0.3775626590982961,0.4396050338207129,0.5710250636393184,Reggaeton-pop crossover; rhythmic sensual.,hi,mid,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2020_harry_styles__watermelon_sugar__album,Harry Styles,Watermelon Sugar,2020,hi,mid,hi,hi,hi,95.703125,173.87102040816328,-17.786724547008536,0.36519727464829776,0.4356372833328846,0.5660789098593191,Summery retro-pop; bright high-energy feel; very singalong and fun.,mid,mid,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2022_djo__end_of_beginning__album,Djo,End of Beginning,2022,mid,lo,mid,lo,mid,161.4990234375,157.5241723356009,-18.24152850523827,0.3602379886954487,0.16800045760095705,0.5640951954781794,Indie pop rock; driving mid energy; nostalgic bittersweet feel.,lo,lo,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2022_harry_styles__as_it_was__album,Harry Styles,As It Was,2022,mid,lo,mid,hi,mid,172.265625,164.95455782312925,-17.53683110372159,0.3537193204350324,0.23551522530944613,0.5614877281740129,Feels like ~87 BPM double-time; bittersweet pop.,lo,lo,ml_feat_agree_truth_diff,all_disagree
2022_steve_lacy__bad_habit__album,Steve Lacy,Bad Habit,2022,mid,hi,mid,hi,mid,84.72079918032787,231.82802721088436,-17.534561734996995,0.374507897911564,0.3459291174191298,0.5698031591646255,Laid-back alt R&B; loping mid energy; strong head-nod groove.,hi,lo,ml_feat_agree_truth_diff,all_disagree
2023_teddy_swims__lose_control__album,Teddy Swims,Lose Control,2023,hi,lo,mid,hi,mid,161.4990234375,208.05079365079365,-17.59147953965627,0.3582620252732589,0.20318733133225114,0.5633048101093036,Soulful belter; strong vocal intensity; mid-tempo band groove.,lo,lo,ml_feat_agree_truth_diff,all_disagree
2024_billie_eilish__birds_of_a_feather__album,Billie Eilish,BIRDS OF A FEATHER,2024,mid,hi,mid,hi,mid,105.46875,208.79383219954647,-17.471191829582445,0.377191836875466,0.5525585301034792,0.5708767347501864,Dreamy indie-pop; floating mid energy; mid danceability and mood.,hi,hi,ml_feat_agree_truth_diff,ml_feat_agree_truth_diff
2024_sabrina_carpenter__please_please_please__album,Sabrina Carpenter,Please Please Please,2024,mid,lo,mid,mid,mid,107.666015625,185.0165986394558,-18.315439861830956,0.3557311917593764,0.5458845359896958,0.5622924767037505,Mid-tempo pop; steady rhythmic feel; playful yet slightly tense mood.,lo,hi,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2025_alex_warren__ordinary__single,Alex Warren,Ordinary,2025,mid,lo,lo,lo,mid,112.34714673913044,186.50267573696146,-18.958532079120264,0.35165290143899164,0.5406124982840589,0.5606611605755967,"Heartfelt 2025 summer ballad; moderate tempo, steady build, emotionally romantic but more intimate than euphoric.",lo,hi,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
