audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
2014_ariana_grande__one_last_time__album,Ariana Grande,One Last Time,2014,mid,hi,mid,hi,mid,126.04801829268293,196.1621768707483,-17.56748176578191,0.36221482696376744,0.4267804279310059,0.564885930785507,Mid-tempo EDM-pop ballad; big chorus but not a club banger sits comfortably in the middle.,mid,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
2014_sam_smith__stay_with_me__album,Sam Smith,Stay With Me,2014,mid,mid,lo,hi,lo,84.72079918032787,171.64190476190475,-17.647530758828704,0.3399069583174197,0.2671226177743575,0.5559627833269678,Gospel-tinged ballad; slow emotional delivery; low danceability.,lo,lo,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2014_sia__chandelier__album,Sia,Chandelier,2014,hi,lo,mid,lo,lo,114.84375,214.73814058956916,-18.79923346808762,0.35701271798294804,0.3817263869512473,0.5628050871931792,Soaring pop ballad over trap-influenced drums; vocally intense high energy but emotionally heavy with low-valence subject matter.,lo,mid,ml_feat_agree_truth_diff,truth_feat_agree_ml_diff
2014_taylor_swift__style__album,Taylor Swift,Style,2014,mid,hi,mid,hi,mid,95.703125,229.59891156462584,-17.869900345822522,0.3567734592281365,0.4870669841694838,0.5627093836912546,"Cool mid-tempo pop; driving but not a club banger, strong mid-band reference.",lo,mid,all_disagree,truth_feat_agree_ml_diff
2015_justin_bieber__love_yourself__album,Justin Bieber,Love Yourself,2015,lo,hi,mid,hi,mid,95.703125,232.57106575963718,-17.12202795872671,0.36508065834257863,0.42315259037503716,0.5660322633370314,Minimal acoustic pop; low energy and danceability with lightly snarky tone.,mid,mid,all_disagree,truth_feat_agree_ml_diff
2016_justin_timberlake__cant_stop_the_feeling__album,Justin Timberlake,CAN'T STOP THE FEELING!,2016,hi,hi,hi,mid,hi,112.34714673913044,235.54321995464852,-18.16900437091861,0.3662699922341684,0.540479303342583,0.5665079968936674,"Uplifting disco-funk pop; designed as a feel-good family dance track with clearly high energy, high danceability and high valence.",mid,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2016_the_chainsmokers_ft_halsey__closer__single,The Chainsmokers feat. Halsey,Closer,2016,mid,mid,mid,lo,mid,95.703125,244.45968253968255,-18.440503095090413,0.3726911683115069,0.3728568446020891,0.5690764673246027,EDM-pop with mellow energy; streaming-era staple.,mid,mid,all_agree,truth_feat_agree_ml_diff
2017_daniel_caesar_h_e_r__best_part__album,Daniel Caesar feat. H.E.R.,Best Part,2017,lo,lo,lo,hi,mid,143.5546875,209.53687074829932,-17.397813740434227,0.35408642255581574,0.21150807670692146,0.5616345690223263,Modern neo-soul slow jam; intimate super low energy and dance but warm/mid valence rather than tragic.,lo,lo,all_agree,truth_feat_agree_ml_diff
2018_marshmello_bastille__happier__single,Marshmello & Bastille,Happier,2018,mid,mid,mid,lo,lo,99.38401442307692,213.99510204081633,-18.06084242062632,0.3682704773125116,0.46272922642106684,0.5673081909250046,Sad-pop mid-tempo; bounce in the drums but emotional tone is clearly down strong “mid” energy with low-ish valence.,mid,mid,all_agree,truth_feat_agree_ml_diff
2018_post_malone__better_now__album,Post Malone,Better Now,2018,mid,hi,mid,hi,mid,97.50884433962264,231.0849886621315,-17.711648288057937,0.36635836339964944,0.42063845552032175,0.5665433453598597,Mid-tempo emo-rap pop; steady groove; bittersweet reflective tone.,mid,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
